time,house,tenant,duration,mean,ci_low,ci_high
250.0,76483 Cameron Trail,Megan,18.0,14.353333333333333,12.9,16.044500000000003
260.0,76724 John Points Suite 969,Danielle,19.0,14.3,12.2,16.2
260.0,3287 Katelyn Wall Apt. 226,Jeremy,22.0,14.3,12.2,16.2
270.0,05641 Robin Port,Angela,21.0,14.416666666666666,13.616666666666665,15.216666666666665
250.0,525 Clark Grove Apt. 928,Joseph,0.0,14.353333333333333,12.9,16.044500000000003
260.0,76483 Cameron Trail,Jason,7.0,14.3,12.2,16.2
280.0,76724 John Points Suite 969,Joseph,21.0,11.93,8.219,14.77
270.0,76483 Cameron Trail,Stephen,6.0,14.416666666666666,13.616666666666665,15.216666666666665
290.0,3287 Katelyn Wall Apt. 226,Robin,22.0,14.186666666666667,12.253333333333334,16.119999999999997
280.0,76483 Cameron Trail,Stephen,10.0,11.93,8.219,14.77
280.0,05641 Robin Port,Danielle,8.0,11.93,8.219,14.77
280.0,525 Clark Grove Apt. 928,Joseph,6.0,11.93,8.219,14.77
300.0,76483 Cameron Trail,Jeremy,21.0,13.48333333333333,11.55,14.666666666666666
290.0,05641 Robin Port,Jason,13.0,14.186666666666667,12.253333333333334,16.119999999999997
300.0,525 Clark Grove Apt. 928,Joseph,18.0,13.48333333333333,11.55,14.666666666666666
310.0,3287 Katelyn Wall Apt. 226,Stephen,21.0,14.183333333333332,12.333333333333332,16.05
310.0,76724 John Points Suite 969,Megan,19.0,14.183333333333332,12.333333333333332,16.05
300.0,05641 Robin Port,Danielle,6.0,13.48333333333333,11.55,14.666666666666666
310.0,76483 Cameron Trail,John,11.0,14.183333333333332,12.333333333333332,16.05
330.0,05641 Robin Port,Robin,24.0,13.633333333333335,11.133333333333333,16.43333333333333
320.0,525 Clark Grove Apt. 928,Joseph,12.0,12.233333333333333,10.266666666666666,14.283333333333331
330.0,3287 Katelyn Wall Apt. 226,Danielle,21.0,13.633333333333335,11.133333333333333,16.43333333333333
320.0,76483 Cameron Trail,Jeremy,6.0,12.233333333333333,10.266666666666666,14.283333333333331
330.0,76724 John Points Suite 969,Jason,10.0,13.633333333333335,11.133333333333333,16.43333333333333
330.0,525 Clark Grove Apt. 928,Joseph,9.0,13.633333333333335,11.133333333333333,16.43333333333333
340.0,76483 Cameron Trail,Stephen,23.0,13.113333333333333,11.239999999999998,14.6
